lexicon,IT,EN,DE
hedging,potrebbe non essere,may not be,könnte nicht sein
hedging,forse non,might not be,vielleicht nicht
hedging,è possibile che,could be,möglicherweise
hedging,possibilmente,possibly,vielleicht
hedging,forse,perhaps,wahrscheinlich
hedging,probabilmente,likely that,es scheint
hedging,sembra che,it seems,scheint zu
hedging,a quanto pare,appears to,im allgemeinen
hedging,in generale,generally speaking,in vielen fällen
hedging,in molti casi,in many cases,bis zu einem gewissen grad
hedging,in parte,to some extent,nicht unbedingt
hedging,non necessariamente,not necessarily,tendet dazu
hedging,tende a,tends to,oft der fall
hedging,spesso il caso,often the case,
signposting,in primo luogo,firstly,erstens
signposting,in secondo luogo,secondly,zweitens
signposting,in terzo luogo,thirdly,drittens
signposting,d'altra parte,on the other hand,andererseits
signposting,in altre parole,in other words,mit anderen worten
signposting,per riassumere,to recap,zusammenfassend
signposting,in sintesi,to summarize,kurz gesagt
signposting,risposta breve,short answer,kurze antwort
signposting,risposta lunga,long answer,lange antwort
signposting,secondo me,my take,meiner meinung nach
signposting,nel complesso,overall,insgesamt
signposting,in breve,in short,im kurzen
polite_closer,spero sia utile,hope this helps,hoffe das hilft
polite_closer,fammi sapere se,let me know if,lass mich wissen ob
polite_closer,felice di aiutare,happy to help,gerne behilflich
polite_closer,sentiti libero di,feel free to,fühl dich frei
polite_closer,se hai domande,happy to clarify,bei fragen
polite_closer,fammi sapere se ti serve,if you have any questions,lass mich wissen wenn du brauchst
polite_closer,contento di aiutare,let me know if you need,gerne zu helfen
polite_closer,,glad to help,
